quartet_id,ecovillage_name,latitude,longitude,population_documentary,founding_year,koppen_group_workbook,e8_not_urban_at_founding,e10_no_exogenous_shocks,website,existing_control_lat,existing_control_lon
124,Suwan organic farmstay,17.671088,102.839151,,2017,A,True,TRUE (not GEE-checked; researcher-verified),,17.518994,102.955463
125,Daruma Ecovillage,13.236989,100.952719,,2007,A,True,TRUE (not GEE-checked; researcher-verified),,13.042134,101.309328
126,Protopia Community,10.593709,-84.841019,,2019,A,True,TRUE (not GEE-checked; researcher-verified),,10.42625,-84.750713
127,Eco Aldeia do Vale â€&quot; Instituto Permacultura,38.880436,-9.307763,,2016,C,True,TRUE (not GEE-checked; researcher-verified),,38.990948,-9.240627
128,Spoluzemě Vrábsko,49.46448,14.103488,,2020,D,True,TRUE (not GEE-checked; researcher-verified),,49.481349,14.440453
129,Friskoven,55.095061,14.944695,,2020,D,True,TRUE (not GEE-checked; researcher-verified),,55.030884,14.993181
130,Gemeinschaft Sulzbrunn,47.670555,10.384863,,2015,D,True,TRUE (not GEE-checked; researcher-verified),,47.640664,10.483004
131,Eotopia,46.709743,3.681777,,2016,C,True,TRUE (not GEE-checked; researcher-verified),,46.651895,3.716473
132,ComunitÃ rigenerative,45.994696,12.999064,,2018,C,True,TRUE (not GEE-checked; researcher-verified),,46.058297,12.983499
133,Thabarwa Nature Centre EU,44.703496,8.851423,,2019,C,True,TRUE (not GEE-checked; researcher-verified),,44.661085,8.803369
134,Gut Alaune,51.526603,11.919516,,2016,C,True,TRUE (not GEE-checked; researcher-verified),,51.552848,11.787221
135,Ängsbacka,59.601268,13.700271,,1997,D,True,TRUE (not GEE-checked; researcher-verified),,59.557291,13.051997
136,New Mayapur,47.084388,1.405437,,2013,C,True,TRUE (not GEE-checked; researcher-verified),,46.964371,1.373627
137,Los Guindales,36.566965,-5.278144,,2013,C,True,TRUE (not GEE-checked; researcher-verified),,36.633683,-5.2027
138,"Ferme de la Chaux, Goshen",47.218402,4.671591,,2009,C,True,TRUE (not GEE-checked; researcher-verified),,47.245936,4.586472
139,Aletheia Springs,38.394538,-122.550868,,2016,C,True,TRUE (not GEE-checked; researcher-verified),,38.346771,-122.973058
140,Entelechy,48.805441,-123.489671,,2019,C,True,TRUE (not GEE-checked; researcher-verified),,48.629878,-123.437678
141,Pura Vida Village at Tico Time River Resort,36.98919,-107.87048,,2019,B,True,TRUE (not GEE-checked; researcher-verified),,37.094296,-108.170304
142,ReTribe at NorthernShire,44.506074,-72.86514,,2018,D,True,TRUE (not GEE-checked; researcher-verified),,44.636197,-72.373328
143,PORTAL XIBALBA: ECO-VILLAGE IN THE JUNGLE OF PLAYA DEL CARMEN,20.699931,-87.06081,,2004,A,True,TRUE (not GEE-checked; researcher-verified),,20.848968,-87.257291
144,Emerald Earth Sanctuary,39.025389,-123.292036,,1989,C,True,TRUE (not GEE-checked; researcher-verified),,39.009686,-123.367868
145,Maleny Eco Village,-26.758032,152.84838,,2019,C,True,TRUE (not GEE-checked; researcher-verified),,-26.662654,152.874061
